id,name_sci,name_en,name_sv
4557,Xiphorhynchus elegans,Elegant Woodcreeper,elegant trädklättrare
4558,Xiphorhynchus spixii,Spix's Woodcreeper,marajóträdklättrare
4559,Xiphorhynchus guttatus,Buff-throated Woodcreeper,beigestrupig trädklättrare
4560,Xiphorhynchus susurrans,Cocoa Woodcreeper,kakaoträdklättrare
4561,Xiphorhynchus flavigaster,Ivory-billed Woodcreeper,vitnäbbad trädklättrare
4562,Xiphorhynchus lachrymosus,Black-striped Woodcreeper,svartstrimmig trädklättrare
4563,Xiphorhynchus erythropygius,Spotted Woodcreeper,fläckträdklättrare
4564,Xiphorhynchus triangularis,Olive-backed Woodcreeper,olivryggig trädklättrare
4565,Dendroplex picus,Straight-billed Woodcreeper,svärdnäbbsträdklättrare
4566,Dendroplex kienerii,Zimmer's Woodcreeper,várzeaträdklättrare
4567,Campylorhamphus trochilirostris,Red-billed Scythebill,rödnäbbad skärnäbb
4568,Campylorhamphus falcularius,Black-billed Scythebill,svartnäbbad skärnäbb
4569,Campylorhamphus procurvoides,Curve-billed Scythebill,amazonskärnäbb
4570,Campylorhamphus pusillus,Brown-billed Scythebill,brunnäbbad skärnäbb
4571,Drymotoxeres pucheranii,Greater Scythebill,större skärnäbb
4572,Drymornis bridgesii,Scimitar-billed Woodcreeper,sabelnäbbsträdklättrare
4573,Lepidocolaptes leucogaster,White-striped Woodcreeper,vitstrimmig trädklättrare
4574,Lepidocolaptes souleyetii,Streak-headed Woodcreeper,streckhuvad trädklättrare
4575,Lepidocolaptes angustirostris,Narrow-billed Woodcreeper,smalnäbbad trädklättrare
4576,Lepidocolaptes affinis,Spot-crowned Woodcreeper,fläckkronad trädklättrare
4577,Lepidocolaptes lacrymiger,Montane Woodcreeper,andinsk trädklättrare
4578,Lepidocolaptes squamatus,Scaled Woodcreeper,fjällig trädklättrare
4579,Lepidocolaptes falcinellus,Scalloped Woodcreeper,paranáträdklättrare
4580,Lepidocolaptes albolineatus,Guianan Woodcreeper,streckad trädklättrare
4581,Lepidocolaptes duidae,Duida Woodcreeper,duidaträdklättrare
4582,Lepidocolaptes fatimalimae,Inambari Woodcreeper,inambariträdklättrare
4583,Lepidocolaptes fuscicapillus,Dusky-capped Woodcreeper,brunhättad trädklättrare
4584,Xenops tenuirostris,Slender-billed Xenops,smalnäbbad uppnäbb
4585,Xenops minutus,Plain Xenops,grå uppnäbb
4586,Xenops rutilans,Streaked Xenops,strimmig uppnäbb
4587,Berlepschia rikeri,Point-tailed Palmcreeper,palmkrypare
4588,Microxenops milleri,Rufous-tailed Xenops,rödstjärtad trädlöpare
4589,Pygarrhichas albogularis,White-throated Treerunner,vitstrupig trädlöpare
4590,Ochetorhynchus ruficaudus,Straight-billed Earthcreeper,ravinmarkkrypare
4591,Ochetorhynchus andaecola,Rock Earthcreeper,klippmarkkrypare
4592,Ochetorhynchus phoenicurus,Band-tailed Earthcreeper,bandstjärtad markkrypare
4593,Ochetorhynchus melanurus,Crag Chilia,chilemarkkrypare
4594,Pseudocolaptes lawrencii,Buffy Tuftedcheek,bandvingad ullkrage
4595,Pseudocolaptes johnsoni,Pacific Tuftedcheek,chocóullkrage
4596,Pseudocolaptes boissonneautii,Streaked Tuftedcheek,andinsk ullkrage
4597,Premnornis guttuliger,Rusty-winged Barbtail,stamkrypare
4598,Tarphonomus harterti,Bolivian Earthcreeper,boliviamarkkrypare
4599,Tarphonomus certhioides,Chaco Earthcreeper,chacomarkkrypare
4600,Furnarius figulus,Band-tailed Hornero,svartbandad hornero
4601,Furnarius leucopus,Pale-legged Hornero,ljusbent hornero
4602,Furnarius cinnamomeus,Pacific Hornero,tumbeshornero
4603,Furnarius longirostris,Caribbean Hornero,karibhornero
4604,Furnarius torridus,Bay Hornero,flodhornero
4605,Furnarius minor,Lesser Hornero,mindre hornero
4606,Furnarius rufus,Rufous Hornero,haciendahornero
4607,Furnarius cristatus,Crested Hornero,tofshornero
4608,Lochmias nematura,Sharp-tailed Streamcreeper,bäcksmyg
4609,Phleocryptes melanops,Wren-like Rushbird,sävsmyg
4610,Limnornis curvirostris,Curve-billed Reedhaunter,rörsmyg
4611,Geocerthia serrana,Striated Earthcreeper,strimmig markkrypare
4612,Upucerthia dumetaria,Scale-throated Earthcreeper,fjällstrupig markkrypare
4613,Upucerthia saturatior,Patagonian Forest Earthcreeper,patagonienmarkkrypare
4614,Upucerthia albigula,White-throated Earthcreeper,vitstrupig markkrypare
4615,Upucerthia validirostris,Buff-breasted Earthcreeper,långnäbbad markkrypare
4616,Cinclodes pabsti,Long-tailed Cinclodes,långstjärtad cinklod
4617,Cinclodes antarcticus,Blackish Cinclodes,gråsvart cinklod
4618,Cinclodes fuscus,Buff-winged Cinclodes,bandvingad cinklod
4619,Cinclodes comechingonus,Cordoba Cinclodes,córdobacinklod
4620,Cinclodes albidiventris,Chestnut-winged Cinclodes,kastanjevingad cinklod
4621,Cinclodes albiventris,Cream-winged Cinclodes,gräddvingad cinklod
4622,Cinclodes olrogi,Olrog's Cinclodes,bäckcinklod
4623,Cinclodes oustaleti,Grey-flanked Cinclodes,gråsidig cinklod
4624,Cinclodes excelsior,Stout-billed Cinclodes,stornäbbad cinklod
4625,Cinclodes aricomae,Royal Cinclodes,kungscinklod
4626,Cinclodes palliatus,White-bellied Cinclodes,vitbukig cinklod
4627,Cinclodes atacamensis,White-winged Cinclodes,vitvingad cinklod
4628,Cinclodes patagonicus,Dark-bellied Cinclodes,mörkbukig cinklod
4629,Cinclodes taczanowskii,Peruvian Seaside Cinclodes,bränningscinklod
4630,Cinclodes nigrofumosus,Chilean Seaside Cinclodes,strandcinklod
4631,Anabazenops dorsalis,Bamboo Foliage-gleaner,guadualövletare
4632,Anabazenops fuscus,White-collared Foliage-gleaner,vithalsad lövletare
4633,Megaxenops parnaguae,Great Xenops,uppnäbbad lövletare
4634,Cichlocolaptes leucophrus,Pale-browed Treehunter,blekbrynad trädletare
4635,Cichlocolaptes mazarbarnetti,Cryptic Treehunter,alagoasträdletare
4636,Heliobletus contaminatus,Sharp-billed Treehunter,spetsnäbbad trädletare
4637,Philydor fuscipenne,Slaty-winged Foliage-gleaner,mörkvingad lövletare
4638,Philydor erythrocercum,Rufous-rumped Foliage-gleaner,rostgumpad lövletare
4639,Philydor novaesi,Alagoas Foliage-gleaner,alagoaslövletare
4640,Philydor atricapillus,Black-capped Foliage-gleaner,svartkronad lövletare
4641,Philydor pyrrhodes,Cinnamon-rumped Foliage-gleaner,kanellövletare
4642,Anabacerthia striaticollis,Montane Foliage-gleaner,berglövletare
4643,Anabacerthia variegaticeps,Scaly-throated Foliage-gleaner,fjällstrupig lövletare
4644,Anabacerthia ruficaudata,Rufous-tailed Foliage-gleaner,roststjärtad lövletare
4645,Anabacerthia amaurotis,White-browed Foliage-gleaner,vitbrynad lövletare
4646,Anabacerthia lichtensteini,Ochre-breasted Foliage-gleaner,ockrabröstad lövletare
4647,Syndactyla rufosuperciliata,Buff-browed Foliage-gleaner,brunbrynad lövletare
4648,Syndactyla dimidiata,Planalto Foliage-gleaner,planaltolövletare
4649,Syndactyla roraimae,Tepui Foliage-gleaner,tepuílövletare
4650,Syndactyla subalaris,Lineated Foliage-gleaner,höglandslövletare
4651,Syndactyla ruficollis,Rufous-necked Foliage-gleaner,rosthalsad lövletare
4652,Syndactyla guttulata,Guttulate Foliage-gleaner,venezuelalövletare
4653,Syndactyla ucayalae,Peruvian Recurvebill,perumejselnäbb
4654,Syndactyla striata,Bolivian Recurvebill,boliviamejselnäbb
4655,Ancistrops strigilatus,Chestnut-winged Hookbill,krumnäbb
4656,Dendroma rufa,Buff-fronted Foliage-gleaner,gulpannad lövletare
4657,Dendroma erythroptera,Chestnut-winged Foliage-gleaner,gråryggig lövletare
4658,Clibanornis dendrocolaptoides,Canebrake Groundcreeper,bambukrypare
4659,Clibanornis rectirostris,Henna-capped Foliage-gleaner,kroknäbbad lövletare
4660,Clibanornis erythrocephalus,Henna-hooded Foliage-gleaner,hennahuvad lövletare
4661,Clibanornis rubiginosus,Ruddy Foliage-gleaner,rödbrun lövletare
4662,Clibanornis rufipectus,Santa Marta Foliage-gleaner,santamartalövletare
4663,Thripadectes ignobilis,Uniform Treehunter,enfärgad trädletare
4664,Thripadectes flammulatus,Flammulated Treehunter,gulflammig trädletare
4665,Thripadectes scrutator,Peruvian Treehunter,peruträdletare
4666,Thripadectes rufobrunneus,Streak-breasted Treehunter,costaricaträdletare
4667,Thripadectes melanorhynchus,Black-billed Treehunter,svartnäbbad trädletare
4668,Thripadectes holostictus,Striped Treehunter,strimmig trädletare
4669,Thripadectes virgaticeps,Streak-capped Treehunter,streckhuvad trädletare
4670,Automolus rufipileatus,Chestnut-crowned Foliage-gleaner,gulögd lövletare
4671,Automolus melanopezus,Brown-rumped Foliage-gleaner,rödögd lövletare
4672,Automolus ochrolaemus,Buff-throated Foliage-gleaner,gulstrupig lövletare
4673,Automolus exsertus,Chiriqui Foliage-gleaner,chiriquílövletare
4674,Automolus subulatus,Eastern Woodhaunter,östlig skogssmyg
4675,Automolus virgatus,Western Woodhaunter,västlig skogssmyg
4676,Automolus infuscatus,Olive-backed Foliage-gleaner,olivryggig lövletare
4677,Automolus paraensis,Para Foliage-gleaner,parálövletare
4678,Automolus lammi,Pernambuco Foliage-gleaner,pernambucolövletare
4679,Automolus leucophthalmus,White-eyed Foliage-gleaner,vitögd lövletare
4680,Premnoplex brunnescens,Spotted Barbtail,fläckig piggstjärt
4681,Premnoplex tatei,White-throated Barbtail,vitstrupig piggstjärt
4682,Margarornis bellulus,Beautiful Treerunner,praktträdlöpare
4683,Margarornis rubiginosus,Ruddy Treerunner,rödbrun trädlöpare
4684,Margarornis stellatus,Star-chested Treerunner,stjärnträdlöpare
4685,Margarornis squamiger,Pearled Treerunner,pärlträdlöpare
4686,Aphrastura spinicauda,Thorn-tailed Rayadito,chiletörnstjärt
4687,Aphrastura masafuerae,Masafuera Rayadito,alejandroselkirktörnstjärt
4688,Sylviorthorhynchus desmurii,Des Murs's Wiretail,trådsprötstjärt
4689,Sylviorthorhynchus yanacensis,Tawny Tit-Spinetail,gyllenbrun sprötstjärt
4690,Leptasthenura fuliginiceps,Brown-capped Tit-Spinetail,brunsprötstjärt
4691,Leptasthenura platensis,Tufted Tit-Spinetail,tofssprötstjärt
4692,Leptasthenura aegithaloides,Plain-mantled Tit-Spinetail,gråryggig sprötstjärt
4693,Leptasthenura striolata,Striolated Tit-Spinetail,streckad sprötstjärt
4694,Leptasthenura pileata,Rusty-crowned Tit-Spinetail,rostkronad sprötstjärt
4695,Leptasthenura xenothorax,White-browed Tit-Spinetail,cuzcosprötstjärt
4696,Leptasthenura striata,Streak-backed Tit-Spinetail,strimryggig sprötstjärt
4697,Leptasthenura andicola,Andean Tit-Spinetail,andinsk sprötstjärt
4698,Leptasthenura setaria,Araucaria Tit-Spinetail,araucariasprötstjärt
4699,Phacellodomus rufifrons,Rufous-fronted Thornbird,rödpannad törnfågel
4700,Phacellodomus inornatus,Plain Thornbird,nordlig törnfågel
4701,Phacellodomus striaticeps,Streak-fronted Thornbird,streckpannad törnfågel
4702,Phacellodomus sibilatrix,Little Thornbird,mindre törnfågel
4703,Phacellodomus dorsalis,Chestnut-backed Thornbird,kastanjeryggig törnfågel
4704,Phacellodomus maculipectus,Spot-breasted Thornbird,gråögd törnfågel
4705,Phacellodomus striaticollis,Freckle-breasted Thornbird,fläckbröstad törnfågel
4706,Phacellodomus ruber,Greater Thornbird,större törnfågel
4707,Phacellodomus erythrophthalmus,Orange-eyed Thornbird,orangeögd törnfågel
4708,Phacellodomus ferrugineigula,Orange-breasted Thornbird,orangebröstad törnfågel
4709,Hellmayrea gularis,White-browed Spinetail,vitbrynad taggstjärt
4710,Anumbius annumbi,Firewood-gatherer,kvistsamlare
4711,Coryphistera alaudina,Lark-like Brushrunner,lärksnårlöpare
4712,Asthenes dorbignyi,Rusty-vented Canastero,rostgumpad kanastero
4713,Asthenes arequipae,Dark-winged Canastero,mörkvingad kanastero
4714,Asthenes huancavelicae,Pale-tailed Canastero,ljusstjärtad kanastero
4715,Asthenes berlepschi,Berlepsch's Canastero,consatakanastero
4716,Asthenes baeri,Short-billed Canastero,kortnäbbad kanastero
4717,Asthenes luizae,Cipo Canastero,cipókanastero
4718,Asthenes hudsoni,Hudson's Canastero,pampaskanastero
4719,Asthenes anthoides,Austral Canastero,magellankanastero
4720,Asthenes urubambensis,Line-fronted Canastero,inkakanastero
4721,Asthenes flammulata,Many-striped Canastero,strimmig kanastero
4722,Asthenes virgata,Junin Canastero,junínkanastero
4723,Asthenes maculicauda,Scribble-tailed Canastero,páramokanastero
4724,Asthenes wyatti,Streak-backed Canastero,wyattkanastero
4725,Asthenes sclateri,Puna Canastero,punakanastero
4726,Asthenes humilis,Streak-throated Canastero,streckbröstad kanastero
4727,Asthenes modesta,Cordilleran Canastero,gräskanastero
4728,Asthenes moreirae,Itatiaia Spinetail,itatiaiaborststjärt
4729,Asthenes pyrrholeuca,Sharp-billed Canastero,mindre kanastero
4730,Asthenes harterti,Black-throated Thistletail,svartstrupig borststjärt
4731,Asthenes helleri,Puna Thistletail,punaborststjärt
4732,Asthenes vilcabambae,Vilcabamba Thistletail,vilcabambaborststjärt
4733,Asthenes ayacuchensis,Ayacucho Thistletail,ayacuchoborststjärt
4734,Asthenes pudibunda,Canyon Canastero,kanjonkanastero
4735,Asthenes ottonis,Rusty-fronted Canastero,rostpannad kanastero
4736,Asthenes heterura,Maquis Canastero,boliviakanastero
4737,Asthenes palpebralis,Eye-ringed Thistletail,junínborststjärt
4738,Asthenes coryi,Ochre-browed Thistletail,ockrabrynad borststjärt
4739,Asthenes perijana,Perija Thistletail,perijáborststjärt
4740,Asthenes fuliginosa,White-chinned Thistletail,vitstrupig borststjärt
4741,Asthenes griseomurina,Mouse-colored Thistletail,umbraborststjärt
4742,Acrobatornis fonsecai,Pink-legged Graveteiro,akrobatfågel
4743,Metopothrix aurantiaca,Orange-fronted Plushcrown,guldpanna
4744,Xenerpestes minlosi,Double-banded Greytail,dubbelbandad gråstjärt
4745,Xenerpestes singularis,Equatorial Greytail,ecuadorgråstjärt
4746,Siptornis striaticollis,Spectacled Prickletail,glasögontaggstjärt
4747,Roraimia adusta,Roraiman Barbtail,roraimamjukstjärt
4748,Thripophaga macroura,Striated Softtail,strimmjukstjärt
4749,Thripophaga cherriei,Orinoco Softtail,orinocomjukstjärt
4750,Thripophaga amacurensis,Delta Amacuro Softtail,deltaamacuromjukstjärt
4751,Thripophaga fusciceps,Plain Softtail,ljusbrynad mjukstjärt
4752,Thripophaga berlepschi,Russet-mantled Softtail,perumjukstjärt
4753,Limnoctites rectirostris,Straight-billed Reedhaunter,långnäbbad sumpjägare
4754,Limnoctites sulphuriferum,Sulphur-bearded Reedhaunter,svavelstrupig sumpjägare
4755,Cranioleuca marcapatae,Marcapata Spinetail,marcapatataggstjärt
4756,Cranioleuca albiceps,Light-crowned Spinetail,vitkronad taggstjärt
4757,Cranioleuca vulpina,Rusty-backed Spinetail,rostryggig taggstjärt
4758,Cranioleuca dissita,Coiba Spinetail,coibataggstjärt
4759,Cranioleuca vulpecula,Parker's Spinetail,amazontaggstjärt
4760,Cranioleuca subcristata,Crested Spinetail,venezuelataggstjärt
4761,Cranioleuca pyrrhophia,Stripe-crowned Spinetail,strimkronad taggstjärt
4762,Cranioleuca henricae,Bolivian Spinetail,boliviataggstjärt
4763,Cranioleuca obsoleta,Olive Spinetail,olivtaggstjärt
4764,Cranioleuca pallida,Pallid Spinetail,blek taggstjärt
4765,Cranioleuca semicinerea,Grey-headed Spinetail,gråhuvad taggstjärt
4766,Cranioleuca albicapilla,Creamy-crested Spinetail,gräddkronad taggstjärt
4767,Cranioleuca erythrops,Red-faced Spinetail,rosthuvad taggstjärt
4768,Cranioleuca demissa,Tepui Spinetail,tepuítaggstjärt
4769,Cranioleuca hellmayri,Streak-capped Spinetail,streckkronad taggstjärt
4770,Cranioleuca curtata,Ash-browed Spinetail,gråbrynad taggstjärt
4771,Cranioleuca antisiensis,Line-cheeked Spinetail,bergtaggstjärt
4772,Cranioleuca gutturata,Speckled Spinetail,fläckmjukstjärt
4773,Cranioleuca muelleri,Scaled Spinetail,várzeataggstjärt
4774,Pseudasthenes humicola,Dusky-tailed Canastero,mörkstjärtad kanastero
4775,Pseudasthenes patagonica,Patagonian Canastero,patagonienkanastero
4776,Pseudasthenes steinbachi,Steinbach's Canastero,kastanjekanastero
4777,Pseudasthenes cactorum,Cactus Canastero,kaktuskanastero
4778,Spartonoica maluroides,Bay-capped Wren-Spinetail,träsksmyg
4779,Pseudoseisura cristata,Caatinga Cacholote,caatingatörnskrika
4780,Pseudoseisura unirufa,Grey-crested Cacholote,gråtofsad törnskrika
4781,Pseudoseisura lophotes,Brown Cacholote,brun törnskrika
4782,Pseudoseisura gutturalis,White-throated Cacholote,vitstrupig törnskrika
4783,Certhiaxis cinnamomeus,Yellow-chinned Spinetail,gulhakad taggstjärt
4784,Certhiaxis mustelinus,Red-and-white Spinetail,rödvit taggstjärt
4785,Mazaria propinqua,White-bellied Spinetail,vitbukig taggstjärt
4786,Schoeniophylax phryganophilus,Chotoy Spinetail,chotoytaggstjärt
4787,Synallaxis scutata,Ochre-cheeked Spinetail,ockrakindad taggstjärt
4788,Synallaxis cinerascens,Grey-bellied Spinetail,gråbukig taggstjärt
4789,Synallaxis gujanensis,Plain-crowned Spinetail,gråkronad taggstjärt
4790,Synallaxis albilora,White-lored Spinetail,vittyglad taggstjärt
4791,Synallaxis maranonica,Maranon Spinetail,marañóntaggstjärt
4792,Synallaxis hypochondriaca,Great Spinetail,större taggstjärt
4793,Synallaxis chinchipensis,Chinchipe Spinetail,chinchipetaggstjärt
4794,Synallaxis stictothorax,Necklaced Spinetail,fläckbröstad taggstjärt
4795,Synallaxis zimmeri,Russet-bellied Spinetail,rostbukig taggstjärt
4796,Synallaxis brachyura,Slaty Spinetail,skiffertaggstjärt
4797,Synallaxis subpudica,Silvery-throated Spinetail,bogotátaggstjärt
4798,Synallaxis hellmayri,Red-shouldered Spinetail,rödskuldrad taggstjärt
4799,Synallaxis ruficapilla,Rufous-capped Spinetail,rostkronad taggstjärt
4800,Synallaxis cinerea,Bahia Spinetail,bahiataggstjärt
4801,Synallaxis infuscata,Pinto's Spinetail,pernambucotaggstjärt
4802,Synallaxis moesta,Dusky Spinetail,mörk taggstjärt
4803,Synallaxis macconnelli,McConnell's Spinetail,McConnells taggstjärt
4804,Synallaxis cabanisi,Cabanis's Spinetail,flodtaggstjärt
4805,Synallaxis hypospodia,Cinereous-breasted Spinetail,gråbröstad taggstjärt
4806,Synallaxis spixi,Spix's Spinetail,chiclitaggstjärt
4807,Synallaxis albigularis,Dark-breasted Spinetail,mörkbröstad taggstjärt
4808,Synallaxis beverlyae,Rio Orinoco Spinetail,orinocotaggstjärt
4809,Synallaxis albescens,Pale-breasted Spinetail,blekbröstad taggstjärt
4810,Synallaxis frontalis,Sooty-fronted Spinetail,sotpannad taggstjärt
4811,Synallaxis azarae,Azara's Spinetail,azarataggstjärt
4812,Synallaxis courseni,Apurimac Spinetail,apurímactaggstjärt
4813,Synallaxis candei,White-whiskered Spinetail,svartörad taggstjärt
4814,Synallaxis erythrothorax,Rufous-breasted Spinetail,yucatántaggstjärt
4815,Synallaxis kollari,Hoary-throated Spinetail,roraimataggstjärt
4816,Synallaxis tithys,Blackish-headed Spinetail,svarthuvad taggstjärt
4817,Synallaxis fuscorufa,Rusty-headed Spinetail,santamartataggstjärt
4818,Synallaxis unirufa,Rufous Spinetail,rosttaggstjärt
4819,Synallaxis castanea,Black-throated Spinetail,svartstrupig taggstjärt
4820,Synallaxis cinnamomea,Stripe-breasted Spinetail,streckbröstad taggstjärt
4821,Synallaxis rutilans,Ruddy Spinetail,kastanjetaggstjärt
4822,Synallaxis cherriei,Chestnut-throated Spinetail,kastanjestrupig taggstjärt
4823,Euchrepomis callinota,Rufous-rumped Antwren,rostgumpad myrsmyg
4824,Euchrepomis humeralis,Chestnut-shouldered Antwren,kastanjeskuldrad myrsmyg
4825,Euchrepomis sharpei,Yellow-rumped Antwren,gulgumpad myrsmyg
4826,Euchrepomis spodioptila,Ash-winged Antwren,gråvingad myrsmyg
4827,Myrmornis torquata,Wing-banded Antbird,praktmyrfågel
4828,Pygiptila stellaris,Spot-winged Antshrike,fläckvingad myrtörnskata
4829,Thamnistes anabatinus,Russet Antshrike,rödbrun myrtörnskata
4830,Thamnistes rufescens,Rufescent Antshrike,rostbrun myrtörnskata
4831,Microrhopias quixensis,Dot-winged Antwren,fläckvingad myrsmyg
4832,Neoctantes niger,Black Bushbird,helikoniamyrtörnskata
4833,Clytoctantes alixii,Recurve-billed Bushbird,båtnäbbad myrtörnskata
4834,Clytoctantes atrogularis,Rondonia Bushbird,rondôniamyrtörnskata
4835,Epinecrophylla fulviventris,Checker-throated Stipplethroat,lianmyrsmyg
4836,Epinecrophylla gutturalis,Brown-bellied Stipplethroat,brunbukig myrsmyg
4837,Epinecrophylla leucophthalma,White-eyed Stipplethroat,vitögd myrsmyg
4838,Epinecrophylla haematonota,Rufous-backed Stipplethroat,rostmantlad myrsmyg
4839,Epinecrophylla amazonica,Rio Madeira Stipplethroat,madeiramyrsmyg
4840,Epinecrophylla spodionota,Foothill Stipplethroat,gråryggig myrsmyg
4841,Epinecrophylla ornata,Ornate Stipplethroat,praktmyrsmyg
4842,Epinecrophylla erythrura,Rufous-tailed Stipplethroat,roststjärtad myrsmyg
4843,Myrmorchilus strigilatus,Stripe-backed Antbird,strimryggig myrsmyg
4844,Aprositornis disjuncta,Yapacana Antbird,yapacanamyrfågel
4845,Ammonastes pelzelni,Grey-bellied Antbird,gråbukig myrfågel
4846,Myrmophylax atrothorax,Black-throated Antbird,svartstrupig myrfågel
4847,Myrmotherula ignota,Moustached Antwren,griscommyrsmyg
4848,Myrmotherula brachyura,Pygmy Antwren,dvärgmyrsmyg
4849,Myrmotherula surinamensis,Guianan Streaked Antwren,guyanamyrsmyg
4850,Myrmotherula multostriata,Amazonian Streaked Antwren,amazonmyrsmyg
4851,Myrmotherula pacifica,Pacific Antwren,chocómyrsmyg
4852,Myrmotherula cherriei,Cherrie's Antwren,cherriemyrsmyg
4853,Myrmotherula klagesi,Klages's Antwren,klagesmyrsmyg
4854,Myrmotherula longicauda,Stripe-chested Antwren,andinsk myrsmyg
4855,Myrmotherula ambigua,Yellow-throated Antwren,gulstrupig myrsmyg
4856,Myrmotherula sclateri,Sclater's Antwren,gulbukig myrsmyg
4857,Myrmotherula axillaris,White-flanked Antwren,vitsidig myrsmyg
4858,Myrmotherula luctuosa,Silvery-flanked Antwren,silversidig myrsmyg
4859,Myrmotherula schisticolor,Slaty Antwren,skiffermyrsmyg
4860,Myrmotherula sunensis,Rio Suno Antwren,ríosunomyrsmyg
4861,Myrmotherula minor,Salvadori's Antwren,salvadorimyrsmyg
4862,Myrmotherula longipennis,Long-winged Antwren,långvingad myrsmyg
4863,Myrmotherula urosticta,Band-tailed Antwren,bandstjärtad myrsmyg
4864,Myrmotherula iheringi,Ihering's Antwren,iheringmyrsmyg
4865,Myrmotherula fluminensis,Rio de Janeiro Antwren,riodejaneiromyrsmyg
4866,Myrmotherula grisea,Yungas Antwren,yungasmyrsmyg
4867,Myrmotherula unicolor,Unicolored Antwren,enfärgad myrsmyg
4868,Myrmotherula snowi,Alagoas Antwren,alagoasmyrsmyg
4869,Myrmotherula behni,Plain-winged Antwren,mörkvingad myrsmyg
4870,Myrmotherula menetriesii,Grey Antwren,ménétriesmyrsmyg
4871,Myrmotherula assimilis,Leaden Antwren,ljusbukig myrsmyg
4872,Terenura maculata,Streak-capped Antwren,streckhuvad myrsmyg
4873,Terenura sicki,Orange-bellied Antwren,orangebukig myrsmyg
4874,Myrmochanes hemileucus,Black-and-white Antbird,svartvit myrfågel
4875,Formicivora iheringi,Narrow-billed Antwren,smalnäbbad myrsmyg
4876,Formicivora erythronotos,Black-hooded Antwren,svarthuvad myrsmyg
4877,Formicivora grisea,Southern White-fringed Antwren,vitrandad myrsmyg
4878,Formicivora intermedia,Northern White-fringed Antwren,vitbrynad myrsmyg
4879,Formicivora serrana,Serra Antwren,serramyrsmyg
4880,Formicivora melanogaster,Black-bellied Antwren,svartbukig myrsmyg
4881,Formicivora rufa,Rusty-backed Antwren,rostryggig myrsmyg
4882,Formicivora grantsaui,Sincora Antwren,sincorámyrsmyg
4883,Formicivora acutirostris,Marsh Antwren,paranámyrsmyg
4884,Dichrozona cincta,Banded Antbird,bandad myrfågel
4885,Rhopias gularis,Star-throated Antwren,stjärnstrupig myrsmyg
4886,Isleria hauxwelli,Plain-throated Antwren,gråbukig myrsmyg
4887,Isleria guttata,Rufous-bellied Antwren,rostbukig myrsmyg
4888,Thamnomanes ardesiacus,Dusky-throated Antshrike,mörkstrupig myrtörnskata
4889,Thamnomanes saturninus,Saturnine Antshrike,svartstrupig myrtörnskata
4890,Thamnomanes caesius,Cinereous Antshrike,askgrå myrtörnskata
4891,Thamnomanes schistogynus,Bluish-slate Antshrike,blågrå myrtörnskata
4892,Megastictus margaritatus,Pearly Antshrike,pärlmyrtörnskata
4893,Herpsilochmus pileatus,Bahia Antwren,bahiamyrsmyg
4894,Herpsilochmus sellowi,Caatinga Antwren,caatingamyrsmyg
4895,Herpsilochmus atricapillus,Black-capped Antwren,svartkronad myrsmyg
4896,Herpsilochmus stotzi,Aripuana Antwren,aripuanãmyrsmyg
4897,Herpsilochmus praedictus,Predicted Antwren,purusmyrsmyg
4898,Herpsilochmus motacilloides,Creamy-bellied Antwren,gräddbukig myrsmyg
4899,Herpsilochmus parkeri,Ash-throated Antwren,gråstrupig myrsmyg
4900,Herpsilochmus sticturus,Spot-tailed Antwren,fläckstjärtad myrsmyg
4901,Herpsilochmus dugandi,Dugand's Antwren,loretomyrsmyg
4902,Herpsilochmus stictocephalus,Todd's Antwren,cayennemyrsmyg
4903,Herpsilochmus dorsimaculatus,Spot-backed Antwren,fläckryggig myrsmyg
4904,Herpsilochmus roraimae,Roraiman Antwren,roraimamyrsmyg
4905,Herpsilochmus pectoralis,Pectoral Antwren,kragmyrsmyg
4906,Herpsilochmus longirostris,Large-billed Antwren,stornäbbad myrsmyg
4907,Herpsilochmus gentryi,Ancient Antwren,gentrymyrsmyg
4908,Herpsilochmus axillaris,Yellow-breasted Antwren,gulbröstad myrsmyg
4909,Herpsilochmus frater,Rusty-winged Antwren,rostvingad myrsmyg
4910,Herpsilochmus rufimarginatus,Rufous-margined Antwren,rostkantad myrsmyg
4911,Dysithamnus stictothorax,Spot-breasted Antvireo,fläckbröstad myrvireo
4912,Dysithamnus mentalis,Plain Antvireo,grå myrvireo
4913,Dysithamnus striaticeps,Streak-crowned Antvireo,strimhuvad myrvireo
4914,Dysithamnus puncticeps,Spot-crowned Antvireo,fläckhuvad myrvireo
4915,Dysithamnus xanthopterus,Rufous-backed Antvireo,rostryggig myrvireo
4916,Dysithamnus occidentalis,Bicolored Antvireo,svart myrvireo
4917,Dysithamnus plumbeus,Plumbeous Antvireo,blygrå myrvireo
4918,Dysithamnus leucostictus,White-streaked Antvireo,sotmyrvireo
4919,Thamnophilus bernardi,Collared Antshrike,vitnackad myrtörnskata
4920,Thamnophilus melanonotus,Black-backed Antshrike,svartryggig myrtörnskata
4921,Thamnophilus melanothorax,Band-tailed Antshrike,vitspetsad myrtörnskata
4922,Thamnophilus doliatus,Barred Antshrike,bandad myrtörnskata
4923,Thamnophilus zarumae,Chapman's Antshrike,zarumamyrtörnskata
4924,Thamnophilus multistriatus,Bar-crested Antshrike,strimtofsad myrtörnskata
