id,name_sci,name_en,name_sv
243,Leipoa ocellata,Malleefowl,malleehöna
244,Macrocephalon maleo,Maleo,maleohöna
245,Eulipoa wallacei,Moluccan Megapode,moluckstorfotshöna
246,Megapodius pritchardii,Tongan Megapode,tongastorfotshöna
247,Megapodius laperouse,Micronesian Megapode,mikronesisk storfotshöna
248,Megapodius nicobariensis,Nicobar Megapode,nikobarstorfotshöna
249,Megapodius cumingii,Philippine Megapode,filippinstorfotshöna
250,Megapodius bernsteinii,Sula Megapode,sulastorfotshöna
251,Megapodius tenimberensis,Tanimbar Megapode,tanimbarstorfotshöna
252,Megapodius freycinet,Dusky Megapode,mörk storfotshöna
253,Megapodius geelvinkianus,Biak Scrubfowl,geelvinkstorfotshöna
254,Megapodius eremita,Melanesian Megapode,melanesisk storfotshöna
255,Megapodius layardi,Vanuatu Megapode,vanuatustorfotshöna
256,Megapodius decollatus,New Guinea Scrubfowl,papuastorfotshöna
257,Megapodius reinwardt,Orange-footed Scrubfowl,orangefotad storfotshöna
258,Ortalis vetula,Plain Chachalaca,nordlig chachalaca
259,Ortalis cinereiceps,Grey-headed Chachalaca,gråhuvad chachalaca
260,Ortalis garrula,Chestnut-winged Chachalaca,brunvingad chachalaca
261,Ortalis ruficauda,Rufous-vented Chachalaca,rostgumpad chachalaca
262,Ortalis erythroptera,Rufous-headed Chachalaca,rosthuvad chachalaca
263,Ortalis wagleri,Rufous-bellied Chachalaca,rostbukig chachalaca
264,Ortalis poliocephala,West Mexican Chachalaca,västmexikansk chachalaca
265,Ortalis canicollis,Chaco Chachalaca,gråhalsad chachalaca
266,Ortalis leucogastra,White-bellied Chachalaca,vitbukig chachalaca
267,Ortalis guttata,Speckled Chachalaca,spräcklig chachalaca
268,Ortalis araucuan,East Brazilian Chachalaca,bahiachachalaca
269,Ortalis squamata,Scaled Chachalaca,fjällig chachalaca
270,Ortalis columbiana,Colombian Chachalaca,colombiachachalaca
271,Ortalis motmot,Little Chachalaca,motmotchachalaca
272,Ortalis ruficeps,Chestnut-headed Chachalaca,brunhuvad chachalaca
273,Ortalis superciliaris,Buff-browed Chachalaca,beigebrynad chachalaca
274,Penelope argyrotis,Band-tailed Guan,bandstjärtad guan
275,Penelope barbata,Bearded Guan,skägguan
276,Penelope ortoni,Baudo Guan,baudóguan
277,Penelope montagnii,Andean Guan,andinsk guan
278,Penelope marail,Marail Guan,marailguan
